user_id,title,score
0,5-toubun no Hanayome ∬,0
0,Ajin,0
0,Ajin 2nd Season,0
0,Black Clover,10
0,Danshi Koukousei no Nichijou,0
0,Dr. Stone: Stone Wars,0
0,Hataraku Saibou Black (TV),0
0,Horimiya,0
0,Hortensia Saga (TV),0
0,Jaku-Chara Tomozaki-kun,0
0,Jujutsu Kaisen (TV),0
0,Kaifuku Jutsushi no Yarinaoshi,0
0,Kimetsu no Yaiba Movie: Mugen Ressha-hen,0
0,Maoujou de Oyasumi,0
0,Mushoku Tensei: Isekai Ittara Honki Dasu,0
0,Nihon Chinbotsu 2020,0
0,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,0
0,"Sentouin, Hakenshimasu!",0
0,Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari,0
0,Tensura Nikki: Tensei shitara Slime Datta Ken,0
0,Wonder Egg Priority,0
0,Yakusoku no Neverland 2nd Season,0
1,Akame ga Kill!,7
1,B: The Beginning,7
1,Black Lagoon,10
1,Black Lagoon Omake,10
1,Black Lagoon: Roberta's Blood Trail,10
1,Black Lagoon: The Second Barrage,10
1,Boku no Hero Academia,9
1,Boku no Hero Academia 2nd Season,9
1,Boku no Hero Academia 3rd Season,9
1,Boruto: Naruto the Movie - Naruto ga Hokage ni Natta Hi,8
1,Fullmetal Alchemist,9
1,Fullmetal Alchemist: Brotherhood,10
1,Fullmetal Alchemist: Brotherhood Specials,0
1,Jujutsu Kaisen (TV),10
1,Kimetsu no Yaiba,8
1,Kiseijuu: Sei no Kakuritsu,9
1,Nanatsu no Taizai,8
1,Nanatsu no Taizai: Imashime no Fukkatsu,8
1,Nanatsu no Taizai: Seisen no Shirushi,8
1,Naruto,10
1,Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!,9
1,Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!,9
1,Naruto Movie 3: Dai Koufun! Mikazuki Jima no Animaru Panikku Dattebayo!,0
1,Naruto: Shippuuden,10
1,"Naruto: Shippuuden - Shippuu! ""Konoha Gakuen"" Den",10
1,Naruto: Shippuuden - Sunny Side Battle,10
1,Naruto: Shippuuden Movie 1,10
1,Naruto: Shippuuden Movie 2 - Kizuna,10
1,Naruto: Shippuuden Movie 3 - Hi no Ishi wo Tsugu Mono,10
1,Naruto: Shippuuden Movie 4 - The Lost Tower,0
1,Naruto: Shippuuden Movie 5 - Blood Prison,0
1,Naruto: Shippuuden Movie 6 - Road to Ninja,0
1,Overlord,9
1,Overlord II,9
1,Psycho-Pass,9
1,Shingeki no Kyojin,10
1,Shingeki no Kyojin Season 2,10
1,Shingeki no Kyojin Season 3,10
1,Shingeki no Kyojin Season 3 Part 2,0
1,The Last: Naruto the Movie,0
2,86,10
2,5-toubun no Hanayome,7
2,Amagami SS,8
2,Amagami SS+ Plus,7
2,Another World,7
2,Bakuman.,9
2,BanG Dream!,5
2,BanG Dream! 2nd Season,8
2,BanG Dream! 3rd Season,8
2,Blend S,7
2,Boku no Hero Academia,8
2,Boku no Hero Academia 2nd Season,8
2,Boku no Hero Academia 3rd Season,8
2,Boku no Hero Academia 4th Season,8
2,Bokutachi wa Benkyou ga Dekinai,7
2,Bokutachi wa Benkyou ga Dekinai!,7
2,Bungou Stray Dogs,7
2,Captain Tsubasa (2018),7
2,Carnival Phantasm,8
2,Charlotte,6
2,Danshi Koukousei no Nichijou,9
2,Detective Conan Movie 01: The Timed Skyscraper,8
2,Detective Conan Movie 02: The Fourteenth Target,7
2,Detective Conan Movie 03: The Last Wizard of the Century,8
2,Detective Conan Movie 04: Captured in Her Eyes,9
2,Detective Conan Movie 06: The Phantom of Baker Street,8
2,Detective Conan Movie 07: Crossroad in the Ancient Capital,9
2,Detective Conan Movie 08: Magician of the Silver Sky,8
2,Detective Conan Movie 12: Full Score of Fear,8
2,Detective Conan Movie 20: The Darkest Nightmare,9
2,Detective Conan Movie 22: Zero the Enforcer,9
2,Detective Conan Movie 23: The Fist of Blue Sapphire,8
2,Dr. Stone,8
2,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,7
2,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,6
2,Enen no Shouboutai,7
2,Fate/Apocrypha,6
2,Fate/Grand Order: Moonlight/Lostroom,6
2,Fate/stay night Movie: Heaven's Feel - I. Presage Flower,8
2,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,9
2,Fate/stay night: Unlimited Blade Works,9
2,Fate/stay night: Unlimited Blade Works 2nd Season,9
2,Fate/stay night: Unlimited Blade Works 2nd Season - Sunny Day,8
2,Fate/Zero,8
2,Fate/Zero 2nd Season,9
2,Gabriel DropOut,7
2,Gamers!,6
2,Golden Time,7
2,Haikyuu!!,8
2,Haikyuu!! Second Season,9
2,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,10
2,Haikyuu!!: Riku vs. Kuu,7
2,Haikyuu!!: To the Top,8
2,Hataraku Maou-sama!,7
2,Hello World,8
2,Himouto! Umaru-chan R,8
2,Hyouka,9
2,Isekai Quartet,8
2,Joshikousei no Mudazukai,8
2,Jujutsu Kaisen (TV),9
2,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8
2,Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen,8
2,Kami no Tou,6
2,Kara no Kyoukai 1: Fukan Fuukei,7
2,Kara no Kyoukai 2: Satsujin Kousatsu (Zen),7
2,Kara no Kyoukai 3: Tsuukaku Zanryuu,6
2,Kara no Kyoukai 4: Garan no Dou,8
2,Kara no Kyoukai 5: Mujun Rasen,9
2,Kara no Kyoukai 6: Boukyaku Rokuon,7
2,Kara no Kyoukai 7: Satsujin Kousatsu (Go),7
2,Kara no Kyoukai 8: Shuushou,7
2,Kara no Kyoukai: Mirai Fukuin,8
2,Karakai Jouzu no Takagi-san,10
2,Karakai Jouzu no Takagi-san 2,10
2,Karakai Jouzu no Takagi-san: Water Slide,6
2,Kenja no Mago,5
2,Kimetsu no Yaiba,8
2,Kimi no Na wa.,10
2,Kishuku Gakkou no Juliet,7
2,Kobayashi-san Chi no Maid Dragon,7
2,Koe no Katachi,10
2,K-On!,8
2,Kono Bijutsubu ni wa Mondai ga Aru!,7
2,Kuroko no Basket,8
2,Kuroko no Basket 2nd Season,9
2,Kuroko no Basket 3rd Season,10
2,Kuroko no Basket Movie 4: Last Game,9
2,Lord El-Melloi II Sei no Jikenbo: Rail Zeppelin Grace Note,8
2,Magic Kaito 1412,8
2,Mahouka Koukou no Rettousei,7
2,Mahouka Koukou no Rettousei Movie: Hoshi wo Yobu Shoujo,7
2,Mairimashita! Iruma-kun,7
2,Masamune-kun no Revenge,8
2,Masamune-kun no Revenge OVA,8
2,Midara na Ao-chan wa Benkyou ga Dekinai,7
2,Mikakunin de Shinkoukei,7
2,Nakitai Watashi wa Neko wo Kaburu,7
2,Naruto,8
2,Naruto: Shippuuden,8
2,One Piece Movie 14: Stampede,9
2,One Punch Man,8
2,One Punch Man 2nd Season,6
2,Ore no Kanojo to Osananajimi ga Shuraba Sugiru,5
2,Osake wa Fuufu ni Natte kara,7
2,Rakudai Kishi no Cavalry,7
2,Rikei ga Koi ni Ochita no de Shoumei shitemita.,8
2,Rokudenashi Majutsu Koushi to Akashic Records,7
2,Ryuuou no Oshigoto!,5
2,Saenai Heroine no Sodatekata,7
2,Saenai Heroine no Sodatekata ♭,8
2,Saenai Heroine no Sodatekata Fine,10
2,Saiki Kusuo no Ψ-nan,9
2,Saiki Kusuo no Ψ-nan 2,9
2,Seiren,7
2,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,8
2,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8
2,Shigatsu wa Kimi no Uso,8
2,Shokugeki no Souma,8
2,Shokugeki no Souma: Gou no Sara,5
2,Shokugeki no Souma: San no Sara,7
2,Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen,7
2,Shokugeki no Souma: Shin no Sara,6
2,Sword Art Online,6
2,Sword Art Online II,6
2,Sword Art Online Movie: Ordinal Scale,8
2,Tada-kun wa Koi wo Shinai,8
2,Tamako Love Story,9
2,Tate no Yuusha no Nariagari,8
2,Tenki no Ko,9
2,Tensei shitara Slime Datta Ken,8
2,Tokyo Ghoul:re,7
2,Tsuki ga Kirei,9
2,Tsurezure Children,8
2,"Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka?",6
2,Violet Evergarden,10
2,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,9
2,Watashi ni Tenshi ga Maiorita!,5
2,Wotaku ni Koi wa Muzukashii,7
2,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,8
2,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,10
2,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,9
2,Yesterday wo Utatte,6
